ano,datavotacao,orientacao,sigla,tipo,DEM,PCDOB,PDT,PEN,PHS,PMB,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PSTU,PT,PTB,PTC,PTDOB,PTN,PV,REDE,S.PART.,SD,Apoio Médio,year,month,day,weekday,hour
2016,2016-05-31 22:29:00,Sim,GOV.,REQ,1.0,1.0,1.0,1.0,1.0,1.0,0.91304347826087,0.0,1.0,1.0,1.0,0.928571428571429,1.0,1.0,1.0,0.96,1.0,0.91304347826087,0.914285714285714,0.0,1.0,1.0,0.0,0.976744186046512,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.833333333333333,0.960960960960961,2016,5,1,31,22
2015,2015-09-10 12:37:00,Não,GOV.,REQ,0.0555555555555556,0.916666666666667,0.333333333333333,0.0,0.75,0.0,0.30188679245283,1.0,0.206896551724138,0.818181818181818,0.833333333333333,0.785714285714286,0.888888888888889,0.0,0.0,0.652173913043478,0.2,0.482758620689655,0.0434782608695652,1.0,0.0,1.0,0.0,0.982142857142857,0.411764705882353,1.0,1.0,1.0,0.428571428571429,0.0,0.0,0.7,0.520987654320988,2015,9,3,10,12
2009,2009-06-03 16:33:00,Não,GOV.,MPV,0.115384615384615,1.0,1.0,0.0,1.0,0.0,0.865384615384615,1.0,0.823529411764706,0.0,0.0416666666666667,1.0,0.0,0.0,0.0,0.916666666666667,0.857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.661596958174905,2009,6,2,3,16
2015,2015-06-17 23:32:00,Não,GOV.,MPV,0.0909090909090909,0.75,0.416666666666667,0.0,0.0,0.0,0.113636363636364,0.5,0.296296296296296,0.0,0.782608695652174,0.666666666666667,0.3,0.333333333333333,0.0,0.157894736842105,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.981481481481482,0.454545454545455,1.0,1.0,1.0,0.25,0.0,1.0,0.0,0.382352941176471,2015,6,2,17,23
1992,2000-02-03 12:48:00,Sim,GOV.,PEC,0.952380952380952,1.0,1.0,0.0,1.0,0.0,0.958904109589041,0.0,0.974358974358974,1.0,0.916666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.986842105263158,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.976439790575916,2000,2,3,3,12
2005,2005-06-22 19:58:00,Não,GOV.,MPV,0.914285714285714,1.0,0.428571428571429,0.0,0.0,0.0,0.846153846153846,0.0,0.944444444444444,1.0,0.96969696969697,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.897435897435897,0.0,1.0,0.0,0.0,1.0,0.956521739130435,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.929824561403509,2005,6,2,22,19
2008,2008-04-22 20:52:00,Sim,GOV.,MPV,0.114285714285714,1.0,1.0,0.0,1.0,0.0,0.951612903225806,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.846153846153846,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.760806916426513,2008,4,1,22,20
2016,2016-10-25 20:22:00,Sim,GOV.,PEC,0.956521739130435,0.0,0.222222222222222,0.5,1.0,0.0,1.0,0.0,0.977777777777778,0.571428571428571,0.925,0.954545454545455,0.571428571428571,1.0,0.0,0.642857142857143,0.857142857142857,0.96969696969697,1.0,0.0,1.0,0.0,0.0,0.0,0.944444444444444,0.0,0.75,0.909090909090909,1.0,0.0,0.0,0.923076923076923,0.752620545073375,2016,10,1,25,20
2008,2009-06-03 21:54:00,Sim,GOV.,PEC,0.0333333333333333,0.5,0.0,0.0,0.0,0.0,0.0740740740740741,0.0,0.117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0449438202247191,2009,6,2,3,21
2008,2008-10-14 17:11:00,Não,GOV.,MPV,0.0952380952380952,1.0,1.0,0.0,1.0,0.0,0.984848484848485,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.947368421052632,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.982758620689655,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.849840255591054,2008,10,1,14,17
2008,2008-06-18 13:32:00,Sim,GOV.,PLP,0.0645161290322581,1.0,0.894736842105263,0.0,1.0,0.0,0.950617283950617,1.0,0.945945945945946,0.0,0.911764705882353,1.0,0.0,0.0,0.0,1.0,0.625,0.0,0.024390243902439,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7275,2008,6,2,18,13
2003,2003-06-10 20:13:00,Não,GOV.,PL,0.0714285714285714,1.0,1.0,0.0,0.0,0.0,0.842105263157895,0.0,0.727272727272727,1.0,0.684210526315789,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.106382978723404,0.0,0.0,0.0,0.0,0.974025974025974,0.852941176470588,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.657458563535912,2003,6,1,10,20
2011,2011-11-23 18:36:00,Não,GOV.,REC,0.1,1.0,0.416666666666667,0.0,0.0,0.0,1.0,1.0,0.533333333333333,0.0,0.1,1.0,0.0,0.0,0.0,0.875,0.818181818181818,1.0,0.838709677419355,0.0,1.0,0.0,0.0,0.964912280701754,0.8,0.0,0.0,0.0,0.555555555555556,0.0,0.0,0.0,0.775577557755776,2011,11,2,23,18
2003,2004-03-11 13:40:00,Sim,GOV.,MPV,0.1875,1.0,1.0,0.0,0.0,0.0,0.973684210526316,0.0,0.956521739130435,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.125,0.0,1.0,0.0,0.0,1.0,0.789473684210526,0.0,0.0,0.0,1.0,0.0,0.666666666666667,0.0,0.795454545454545,2004,3,3,11,13
2013,2014-04-09 19:16:00,Não,GOV.,MPV,0.0,1.0,0.3125,0.0,0.0,0.0,0.837209302325581,0.5,0.583333333333333,0.0,0.941176470588235,1.0,1.0,1.0,0.0,0.0,0.222222222222222,0.103448275862069,0.0,0.0,0.0,0.0,0.0,0.982456140350877,0.583333333333333,0.0,1.0,0.0,0.25,0.0,0.0,0.0714285714285714,0.502994011976048,2014,4,2,9,19
1998,1999-01-06 17:01:00,Não,GOV.,PL,1.0,0.0,0.0666666666666667,0.0,0.0,0.0,0.884057971014493,0.0,0.925925925925926,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.970149253731343,0.0,0.0,0.0,0.0,0.025,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759259259259259,1999,1,2,6,17
2006,2007-09-19 21:11:00,Não,GOV.,PEC,0.142857142857143,1.0,1.0,0.0,1.0,0.0,0.825396825396825,0.8,0.935483870967742,0.0,0.966666666666667,1.0,0.0,0.0,0.0,0.958333333333333,1.0,0.0,0.111111111111111,0.0,0.0,0.0,0.0,1.0,0.928571428571429,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.773913043478261,2007,9,2,19,21
